method,n,p,df,rho,SNR,rep,mse
OLS,50,10,1,0.5,1.0,0,1.967516864527851
OLS,50,10,1,0.5,1.0,1,13.393120670176197
OLS,50,10,1,0.5,1.0,2,6.741825193749586
OLS,50,10,1,0.5,1.0,3,1.9458449670375526
OLS,50,10,1,0.5,1.0,4,1.9166425742007618
OLS,50,10,1,0.5,1.0,5,1.7070223005917287
OLS,50,10,1,0.5,1.0,6,3.5433778555096507
OLS,50,10,1,0.5,1.0,7,4.221469906317535
OLS,50,10,1,0.5,1.0,8,7.550218314340984
OLS,50,10,1,0.5,1.0,9,1.5965792717248577
OLS,50,10,1,0.5,1.0,10,10.387445913397809
OLS,50,10,1,0.5,1.0,11,1.4264890757637276
OLS,50,10,1,0.5,1.0,12,2.2601504210322862
OLS,50,10,1,0.5,1.0,13,2.507100429254892
OLS,50,10,1,0.5,1.0,14,2.586859099449367
OLS,50,10,1,0.5,1.0,15,0.8997953413859978
OLS,50,10,1,0.5,1.0,16,3.155613264599536
OLS,50,10,1,0.5,1.0,17,2.674775942772149
OLS,50,10,1,0.5,1.0,18,5.068980826453336
OLS,50,10,1,0.5,1.0,19,3.9205032343544826
LAD,50,10,1,0.5,1.0,0,5.180306580096672
LAD,50,10,1,0.5,1.0,1,14.328057822872136
LAD,50,10,1,0.5,1.0,2,5.030457927525839
LAD,50,10,1,0.5,1.0,3,10.764138607468935
LAD,50,10,1,0.5,1.0,4,9.220089733913774
LAD,50,10,1,0.5,1.0,5,8.041584444040318
LAD,50,10,1,0.5,1.0,6,13.061256777420216
LAD,50,10,1,0.5,1.0,7,10.420254681609931
LAD,50,10,1,0.5,1.0,8,14.81979567797064
LAD,50,10,1,0.5,1.0,9,12.618945877300261
LAD,50,10,1,0.5,1.0,10,16.566216410323516
LAD,50,10,1,0.5,1.0,11,17.894207623528516
LAD,50,10,1,0.5,1.0,12,10.643838829392022
LAD,50,10,1,0.5,1.0,13,9.106537721420118
LAD,50,10,1,0.5,1.0,14,10.810603483977175
LAD,50,10,1,0.5,1.0,15,9.37242772782142
LAD,50,10,1,0.5,1.0,16,8.850388568222465
LAD,50,10,1,0.5,1.0,17,6.777053085395255
LAD,50,10,1,0.5,1.0,18,6.8567355389549896
LAD,50,10,1,0.5,1.0,19,9.284383088936114
Huber,50,10,1,0.5,1.0,0,0.0012435063744436977
Huber,50,10,1,0.5,1.0,1,0.7391399738814558
Huber,50,10,1,0.5,1.0,2,0.5571444124292102
Huber,50,10,1,0.5,1.0,3,0.012160805975744003
Huber,50,10,1,0.5,1.0,4,0.30550094016000795
Huber,50,10,1,0.5,1.0,5,0.0012644525409575631
Huber,50,10,1,0.5,1.0,6,0.34335728993363307
Huber,50,10,1,0.5,1.0,7,0.13800153334123436
Huber,50,10,1,0.5,1.0,8,0.04502260355016703
Huber,50,10,1,0.5,1.0,9,0.00860109701080777
Huber,50,10,1,0.5,1.0,10,0.012216259993542035
Huber,50,10,1,0.5,1.0,11,0.6453076137895556
Huber,50,10,1,0.5,1.0,12,0.2510684780818938
Huber,50,10,1,0.5,1.0,13,0.0049150244488323355
Huber,50,10,1,0.5,1.0,14,0.011403864693661087
Huber,50,10,1,0.5,1.0,15,0.00022769136940642914
Huber,50,10,1,0.5,1.0,16,0.23119738885238617
Huber,50,10,1,0.5,1.0,17,0.38476048633706916
Huber,50,10,1,0.5,1.0,18,0.03779759621183808
Huber,50,10,1,0.5,1.0,19,0.6522916944971071
OLS,50,10,1,0.5,3.0,0,0.6941022990368281
OLS,50,10,1,0.5,3.0,1,0.33719075681937194
OLS,50,10,1,0.5,3.0,2,2.6505288097395545
OLS,50,10,1,0.5,3.0,3,0.7794408491198356
OLS,50,10,1,0.5,3.0,4,1.017916321321822
OLS,50,10,1,0.5,3.0,5,1.1023359118958531
OLS,50,10,1,0.5,3.0,6,2.3626464214342
OLS,50,10,1,0.5,3.0,7,0.4282863859557467
OLS,50,10,1,0.5,3.0,8,1.1543527468739903
OLS,50,10,1,0.5,3.0,9,1.8221480998425525
OLS,50,10,1,0.5,3.0,10,1.8975161604743311
OLS,50,10,1,0.5,3.0,11,0.7349247950694723
OLS,50,10,1,0.5,3.0,12,1.337856357145248
OLS,50,10,1,0.5,3.0,13,0.3987502966029886
OLS,50,10,1,0.5,3.0,14,0.1887842302839227
OLS,50,10,1,0.5,3.0,15,0.5652436470586214
OLS,50,10,1,0.5,3.0,16,1.4427281815845212
OLS,50,10,1,0.5,3.0,17,0.7231394727647457
OLS,50,10,1,0.5,3.0,18,2.6154412965717126
OLS,50,10,1,0.5,3.0,19,0.2575110673420747
LAD,50,10,1,0.5,3.0,0,10.829410489987826
LAD,50,10,1,0.5,3.0,1,8.414421810886177
LAD,50,10,1,0.5,3.0,2,5.522480750788198
LAD,50,10,1,0.5,3.0,3,4.573193648630587
LAD,50,10,1,0.5,3.0,4,19.613758952145613
LAD,50,10,1,0.5,3.0,5,9.466911773339689
LAD,50,10,1,0.5,3.0,6,4.780650587061142
LAD,50,10,1,0.5,3.0,7,10.986107825647634
LAD,50,10,1,0.5,3.0,8,8.755667456416424
LAD,50,10,1,0.5,3.0,9,6.858222888104962
LAD,50,10,1,0.5,3.0,10,23.409878596212625
LAD,50,10,1,0.5,3.0,11,7.827856048775505
LAD,50,10,1,0.5,3.0,12,15.673593113708923
LAD,50,10,1,0.5,3.0,13,11.460508794347053
LAD,50,10,1,0.5,3.0,14,8.963226571866482
LAD,50,10,1,0.5,3.0,15,8.815125698580818
LAD,50,10,1,0.5,3.0,16,10.246031133717612
LAD,50,10,1,0.5,3.0,17,18.13624219485514
LAD,50,10,1,0.5,3.0,18,9.300456138447828
LAD,50,10,1,0.5,3.0,19,11.51994756663235
Huber,50,10,1,0.5,3.0,0,0.09894264864968097
Huber,50,10,1,0.5,3.0,1,0.0026494056266285248
Huber,50,10,1,0.5,3.0,2,0.44316098886874095
Huber,50,10,1,0.5,3.0,3,0.2740268634160182
Huber,50,10,1,0.5,3.0,4,0.2202026398147595
